"","x"
"1","TORNADO"
"2","TSTM WIND"
"3","HAIL"
"4","ICE STORM/FLASH FLOOD"
"5","WINTER STORM"
"6","HURRICANE OPAL/HIGH WINDS"
"7","THUNDERSTORM WINDS"
"8","HURRICANE ERIN"
"9","HURRICANE OPAL"
"10","HEAVY RAIN"
"11","LIGHTNING"
"12","THUNDERSTORM WIND"
"13","DENSE FOG"
"14","RIP CURRENT"
"15","THUNDERSTORM WINS"
"16","FLASH FLOODING"
"17","FLASH FLOOD"
"18","TORNADO F0"
"19","THUNDERSTORM WINDS LIGHTNING"
"20","THUNDERSTORM WINDS/HAIL"
"21","HEAT"
"22","HIGH WINDS"
"23","WIND"
"24","HEAVY RAINS"
"25","LIGHTNING AND HEAVY RAIN"
"26","THUNDERSTORM WINDS HAIL"
"27","COLD"
"28","HEAVY RAIN/LIGHTNING"
"29","FLASH FLOODING/THUNDERSTORM WI"
"30","FLOODING"
"31","WATERSPOUT"
"32","EXTREME COLD"
"33","LIGHTNING/HEAVY RAIN"
"34","BREAKUP FLOODING"
"35","HIGH WIND"
"36","FREEZE"
"37","RIVER FLOOD"
"38","HIGH WINDS HEAVY RAINS"
"39","AVALANCHE"
"40","MARINE MISHAP"
"41","HIGH TIDES"
"42","HIGH WIND/SEAS"
"43","HIGH WINDS/HEAVY RAIN"
"44","HIGH SEAS"
"45","COASTAL FLOOD"
"46","SEVERE TURBULENCE"
"47","RECORD RAINFALL"
"48","HEAVY SNOW"
"49","HEAVY SNOW/WIND"
"50","DUST STORM"
"51","FLOOD"
"52","APACHE COUNTY"
"53","SLEET"
"54","DUST DEVIL"
"55","ICE STORM"
"56","EXCESSIVE HEAT"
"57","THUNDERSTORM WINDS/FUNNEL CLOU"
"58","GUSTY WINDS"
"59","FLOODING/HEAVY RAIN"
"60","HEAVY SURF COASTAL FLOODING"
"61","HIGH SURF"
"62","WILD FIRES"
"63","HIGH"
"64","WINTER STORM HIGH WINDS"
"65","WINTER STORMS"
"66","MUDSLIDES"
"67","RAINSTORM"
"68","SEVERE THUNDERSTORM"
"69","SEVERE THUNDERSTORMS"
"70","SEVERE THUNDERSTORM WINDS"
"71","THUNDERSTORMS WINDS"
"72","FLOOD/FLASH FLOOD"
"73","FLOOD/RAIN/WINDS"
"74","THUNDERSTORMS"
"75","FLASH FLOOD WINDS"
"76","WINDS"
"77","FUNNEL CLOUD"
"78","HIGH WIND DAMAGE"
"79","STRONG WIND"
"80","HEAVY SNOWPACK"
"81","FLASH FLOOD/"
"82","HEAVY SURF"
"83","DRY MIRCOBURST WINDS"
"84","DRY MICROBURST"
"85","URBAN FLOOD"
"86","THUNDERSTORM WINDSS"
"87","MICROBURST WINDS"
"88","HEAT WAVE"
"89","UNSEASONABLY WARM"
"90","COASTAL FLOODING"
"91","STRONG WINDS"
"92","BLIZZARD"
"93","WATERSPOUT/TORNADO"
"94","WATERSPOUT TORNADO"
"95","STORM SURGE"
"96","URBAN/SMALL STREAM FLOOD"
"97","WATERSPOUT-"
"98","TORNADOES, TSTM WIND, HAIL"
"99","TROPICAL STORM ALBERTO"
"100","TROPICAL STORM"
"101","TROPICAL STORM GORDON"
"102","TROPICAL STORM JERRY"
"103","LIGHTNING THUNDERSTORM WINDS"
"104","URBAN FLOODING"
"105","MINOR FLOODING"
"106","WATERSPOUT-TORNADO"
"107","LIGHTNING INJURY"
"108","LIGHTNING AND THUNDERSTORM WIN"
"109","FLASH FLOODS"
"110","THUNDERSTORM WINDS53"
"111","WILDFIRE"
"112","DAMAGING FREEZE"
"113","THUNDERSTORM WINDS 13"
"114","HURRICANE"
"115","SNOW"
"116","LIGNTNING"
"117","FROST"
"118","FREEZING RAIN/SNOW"
"119","HIGH WINDS/"
"120","THUNDERSNOW"
"121","FLOODS"
"122","COOL AND WET"
"123","HEAVY RAIN/SNOW"
"124","GLAZE ICE"
"125","MUD SLIDE"
"126","HIGH  WINDS"
"127","RURAL FLOOD"
"128","MUD SLIDES"
"129","EXTREME HEAT"
"130","DROUGHT"
"131","COLD AND WET CONDITIONS"
"132","EXCESSIVE WETNESS"
"133","SLEET/ICE STORM"
